,,,,
Umsätze Girokonto,Zeitraum: 180 Tage,,,
Neuer Kontostand,"4222,92 EUR",,,
,,,,
Buchungstag,Wertstellung (Valuta),Vorgang,Buchungstext,Umsatz in EUR
06.02.2026,05.02.2026,Lastschrift / Belastung,"Auftraggeber: H&M Buchungstext: H&M, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-02-06 00:00:00 Ref. 0H3JUJD0IB6IIDLR/89286","-28,28"
05.02.2026,05.02.2026,Lastschrift / Belastung,"Auftraggeber: EDEKA Buchungstext: EDEKA, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-02-05 00:00:00 Ref. JFPNQVUT75PB8Z3V/11139","-106,99"
05.02.2026,04.02.2026,Lastschrift / Belastung,"Auftraggeber: Netflix.com Buchungstext: Netflix.com, Amsterdam DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-02-05 00:00:00 Ref. QLGZUI1B0Z3NX39R/4853","-104,98"
04.02.2026,02.02.2026,Lastschrift / Belastung,"Auftraggeber: Apple.com/bill Buchungstext: Apple.com/bill, Dublin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-02-04 00:00:00 Ref. 8BM92H3TV3I12VJ9/17039","-55,71"
02.02.2026,02.02.2026,Lastschrift / Belastung,"Auftraggeber: Deutsche Bahn Buchungstext: Deutsche Bahn, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-02-02 00:00:00 Ref. 3JCZUCQMRUNJDU0I/66693","-119,69"
02.02.2026,31.01.2026,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE91914023767559635706 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Miete Ref. MYN4U9BXF445CRI8/6600","430,20"
01.02.2026,31.01.2026,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE48475563506128938342 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Sparen Ref. 2VFFQOT8HLJEFY3Z/5287","211,27"
31.01.2026,31.01.2026,Lastschrift / Belastung,"Auftraggeber: Lidl sagt Danke Buchungstext: Lidl sagt Danke, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-31 00:00:00 Ref. 6R30OJHE4H3GM1BW/88099","-49,93"
31.01.2026,30.01.2026,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE47690728842673571714 BLZ/BIC: COBADEHD055  Buchungstext: Sparen Ref. 80EBKJF4AQ7B7V1W/86756","-267,57"
31.01.2026,29.01.2026,Lastschrift / Belastung,"Auftraggeber: Spotify Buchungstext: Spotify, Stockholm DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-31 00:00:00 Ref. FWUXX8L2DDH0UYHN/60695","-28,09"
30.01.2026,30.01.2026,Kontoübertrag,"Auftraggeber: <USER   NAME>Kto/IBAN: DE19388263207356830825 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Taschengeld :) Ref. DP0LVSNUJZA7TZ0Y/47740","373,47"
