,,,,
Umsätze Girokonto,Zeitraum: 180 Tage,,,
Neuer Kontostand,"334,78 EUR",,,
,,,,
Buchungstag,Wertstellung (Valuta),Vorgang,Buchungstext,Umsatz in EUR
03.02.2026,03.02.2026,Lastschrift / Belastung,"Auftraggeber: Kleinanzeigen De Buchungstext: Kleinanzeigen De, Kleinmachnow DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-31 00:00:00 Ref. 9S2C28VF0YAO8SUH/27061","-52,84"
03.02.2026,03.02.2026,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 1047956867433/PP.2853.PP/. , Ihr Ei nkauf bei Ref. 5D2C28VE2OUXKCGH/90552",-31
02.02.2026,02.02.2026,Übertrag / Überweisung,Auftraggeber: <USER  NAME> Buchungstext: Taschengeld :) Ref. 1W2C28VE266095W0/67045,422
02.02.2026,02.02.2026,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-30 00:00:00 Ref. 022C28VE1ASQG518/88809",-15
02.02.2026,02.02.2026,Lastschrift / Belastung,"Auftraggeber: CONTINENTALE/EUROPA VERBUND Buchungstext: 579064038 BU 100,00 Ref. 9K2C28TD0JJV1NR8/7686",-232
02.02.2026,02.02.2026,Lastschrift / Belastung,Auftraggeber: Steuerring (Lohnsteuerhilfeverein)e.V. Buchungstext: Mitgliedsbeitrag 32432 Ref. 2R2C28TD3BUSGOG3/12123,-2
27.01.2026,27.01.2026,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: 1047827859847/PP.2853.PP/. eTail.Ma rket OU, Ihr Einkauf bei eTail.Mark et OU Ref. AP2C28TA2MHM6GXY/5439","-30,98"
26.01.2026,26.01.2026,Kontoübertrag,Auftraggeber: <USER   NAME>Kto/IBAN: DE34200411550683173905 BLZ/BIC: COBADEHD055  Buchungstext: Uebertrag auf Girokonto Ref. 0D2C28TA0AT48XZU/4123123,400
26.01.2026,24.01.2026,Übertrag / Überweisung,Auftraggeber: <USER   NAME> Buchungstext: Space Marine 2 Ref. DL5C28T842OQG7NU/4
23.01.2026,23.01.2026,Übertrag / Überweisung,Empfänger: <USER   NAME>Kto/IBAN: DE01231231231312312314 BLZ/BIC: CSDBDE71XXX  Buchungstext: Tagesgeld sparen auf Sparkonto Ref. 2O2C28T71ZKG9RK8/12871,-420
23.01.2026,23.01.2026,Übertrag / Überweisung,Empfänger: <USER   NAME>Kto/IBAN: DE12312312441211142321 BLZ/BIC: COBADEHD055  Buchungstext: Sparen Ref. 2O2C28T71ZKG9RK8/10193,-876
23.01.2026,23.01.2026,Übertrag / Überweisung,Empfänger: <USER   NAME>Kto/IBAN: DE36120700700120304652 BLZ/BIC: DEUTDEFFVAC  Buchungstext: Sparen in ETFs bei TradeRepublic Ref. 712C28T71ZHM9JX7/4661,-132
20.01.2026,20.01.2026,Übertrag / Überweisung,Empfänger: <USER   NAME>Kto/IBAN: DE78127381273887198718 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Aufladung uhr Ref. 012C28T41ZPQJU6E/6234,-532
19.01.2026,19.01.2026,Wertpapiere, Buchungstext: Steuerbelastung auf Vorabpauschale gem. § 18 Invasdasdasd Ref. 2P5C28T10O2QI13W/3,"-98,87"
19.01.2026,19.01.2026,Lastschrift / Belastung,"Auftraggeber: Lidl sagt Danke Buchungstext: Lidl sagt Danke, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-16 00:00:00 Ref. 8Y2C28T315E45QCR/84444","-1,78"
19.01.2026,19.01.2026,Lastschrift / Belastung,"Auftraggeber: BackWerk Buchungstext: BackWerk, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-16 00:00:00 Ref. 7W2C28T316AB7FEB/90691","-1,7"
19.01.2026,19.01.2026,Lastschrift / Belastung,"Auftraggeber: MCDONALDS 01425 Buchungstext: MCDONALDS 01425, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-15 00:00:00 Ref. 9A2C28T31AE582DZ/50695","-14,24"
19.01.2026,19.01.2026,Lastschrift / Belastung,"Auftraggeber: REWE Berlin-Kreuzberg Buchungstext: REWE Berlin-Kreuzberg, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-14 00:00:00 Ref. 7W2C28T316AB7FEB/568","-1,84"
16.01.2026,16.01.2026,Wertpapiere, Buchungstext: Steuerbelastung auf Vorabpauschale gem. § 18 InvStG Depotbestand: 00 Ref. 5F5C28T00WYR8QPN/3,"-342,43"
14.01.2026,14.01.2026,Lastschrift / Belastung,"Auftraggeber: Susies Laden Buchungstext: Susies Laden, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2026-01-12 00:00:00 Ref. 242C28SY0YJB6X99/15780",-22
,,,,
Alter Kontostand,"908,13 EUR",,,
