,,,,
Umsätze Girokonto,Zeitraum: 180 Tage,,,
Neuer Kontostand,"-2358,50 EUR",,,
,,,,
Buchungstag,Wertstellung (Valuta),Vorgang,Buchungstext,Umsatz in EUR
20.12.2025,18.12.2025,Lastschrift / Belastung,"Auftraggeber: Kleinanzeigen De Buchungstext: Kleinanzeigen De, Kleinmachnow DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-20 00:00:00 Ref. VQW7MF18XY3IIR8T/61205","-127,29"
18.12.2025,18.12.2025,Übertrag / Überweisung,"Empfänger: <USER   NAME>Kto/IBAN: DE43477724543444464541 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Miete Ref. BZISWKNIIYDLDB5J/97537","1458,73"
17.12.2025,17.12.2025,Lastschrift / Belastung,"Auftraggeber: PayPal Europe S.a.r.l. et Cie S.C.A Buchungstext: PayPal Europe S.a.r.l. et Cie S.C.A, Luxembourg DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-17 00:00:00 Ref. D714WYBP5EYJJTMC/18445","-63,30"
15.12.2025,15.12.2025,Lastschrift / Belastung,"Auftraggeber: Shell Buchungstext: Shell, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-15 00:00:00 Ref. 4QXY9FZDC9HZ8H8O/71535","-89,28"
12.12.2025,12.12.2025,Lastschrift / Belastung,"Auftraggeber: CINEVISION FILMTHEATER Buchungstext: CINEVISION FILMTHEATER, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-12 00:00:00 Ref. 295ONOSXEMICN6N8/59946","-117,59"
10.12.2025,08.12.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE67162455238833853864 BLZ/BIC: PAGMDEM1XXX  Buchungstext: Sparen Ref. RRW5XDHBIC9KFTWH/30083","995,70"
09.12.2025,08.12.2025,Lastschrift / Belastung,"Auftraggeber: MCDONALDS 01425 Buchungstext: MCDONALDS 01425, Berlin DE Karte Nr. 4871 78XX XXXX 8491 Kartenzahlung comdirect Visa-Debitkarte 2025-12-09 00:00:00 Ref. 04Z0KM4RWH99SPU2/80219","-55,98"
08.12.2025,08.12.2025,Übertrag / Überweisung,"Auftraggeber: <USER   NAME>Kto/IBAN: DE06492911537609024684 BLZ/BIC: DEUTDEFFVAC  Buchungstext: ETF Sparplan Ref. IZ8Q0GEKBW1SF00Q/14034","1361,33"
